label,tid,lat,lon,weekday,hour,loc
0,0,25,9,3,2,801
0,0,25,8,3,3,800
0,0,25,7,3,4,799
0,0,25,8,3,4,800
0,0,26,9,3,4,834
0,0,26,10,3,4,835
0,0,27,10,3,9,868
0,0,27,10,3,9,868
0,0,27,10,3,10,868
0,0,27,9,3,10,867
0,0,27,9,3,10,867
0,0,27,10,3,10,868
0,0,27,10,3,10,868
0,0,27,10,3,11,868
0,0,27,10,3,11,868
0,0,27,9,4,2,867
0,0,27,10,4,2,868
0,0,27,10,4,2,868
0,0,27,10,4,2,868
0,0,17,15,6,13,543
0,0,17,15,6,13,543
0,0,17,16,6,14,544
0,0,17,17,6,14,545
0,0,17,17,6,14,545
0,0,16,17,6,14,512
0,0,16,14,6,14,509
0,0,16,10,6,14,505
0,0,19,9,6,15,603
0,1,26,10,0,11,835
0,1,27,10,0,12,868
0,1,28,7,1,0,898
0,1,28,7,1,0,898
0,1,28,7,1,0,898
0,1,28,7,1,1,898
0,1,28,7,1,1,898
0,1,27,7,1,1,865
0,1,27,7,1,1,865
0,1,27,7,1,1,865
0,1,27,7,1,1,865
0,1,27,7,1,2,865
0,1,28,7,1,2,898
0,1,27,7,1,2,865
0,1,27,8,1,2,866
0,1,27,9,1,2,867
0,1,27,10,1,2,868
0,1,27,9,1,5,867
0,1,26,10,2,9,835
0,1,25,10,2,9,802
0,1,24,10,2,9,769
0,2,26,10,0,10,835
0,2,27,10,0,23,868
0,2,27,9,0,23,867
0,2,27,8,0,23,866
0,2,27,8,0,23,866
0,2,27,7,1,0,865
0,2,28,7,1,0,898
0,2,28,7,1,0,898
0,2,28,7,1,0,898
0,2,28,7,1,1,898
0,2,27,7,1,1,865
0,2,27,7,1,1,865
0,2,27,7,1,1,865
0,2,27,7,1,1,865
0,2,27,7,1,1,865
0,2,27,7,1,2,865
0,2,27,7,1,2,865
0,2,27,7,1,2,865
0,2,27,7,1,2,865
0,2,28,7,1,2,898
0,2,28,7,1,2,898
0,2,27,8,1,3,866
0,2,27,8,1,3,866
0,2,27,9,1,3,867
0,2,26,10,1,3,835
0,3,26,10,0,1,835
0,3,25,10,0,1,802
0,3,24,11,0,1,770
0,3,24,11,0,3,770
0,3,25,10,0,3,802
0,3,26,10,0,3,835
0,3,28,7,1,0,898
0,3,28,7,1,0,898
0,3,28,7,1,0,898
0,3,28,7,1,0,898
0,3,27,7,1,0,865
0,3,27,7,1,1,865
0,3,27,7,1,1,865
0,3,27,7,1,1,865
0,3,27,7,1,1,865
0,3,27,7,1,1,865
0,3,28,7,1,1,898
0,3,28,7,1,2,898
0,3,27,8,1,2,866
0,3,27,8,1,2,866
0,3,27,9,1,2,867
0,3,26,10,2,2,835
0,3,26,10,2,2,835
0,3,26,10,2,2,835
0,3,27,10,2,3,868
0,3,27,10,2,3,868
0,3,27,10,2,3,868
0,3,27,10,2,4,868
0,3,27,10,2,4,868
0,3,26,10,2,4,835
0,3,27,10,2,4,868
0,3,27,10,2,5,868
0,3,27,10,2,9,868
0,3,27,10,3,3,868
0,3,27,10,3,3,868
0,3,27,10,3,6,868
0,3,27,10,3,6,868
0,3,23,9,3,7,735
0,3,22,9,3,7,702
0,3,22,9,3,7,702
0,3,23,9,3,8,735
0,3,26,10,3,11,835
0,3,26,10,3,13,835
0,3,27,10,3,14,868
0,3,27,9,3,14,867
0,3,27,10,4,1,868
0,3,26,10,4,2,835
0,3,26,10,4,3,835
0,3,27,10,4,3,868
0,3,27,10,4,4,868
0,3,27,10,4,4,868
0,3,27,9,4,4,867
0,3,27,10,4,7,868
0,3,27,10,4,10,868
0,3,27,10,4,10,868
0,3,27,10,4,10,868
0,3,27,10,4,11,868
0,3,27,10,4,11,868
0,3,26,10,4,16,835
0,3,27,10,4,16,868
0,3,27,9,4,16,867
0,3,27,10,5,1,868
0,3,27,10,5,3,868
0,3,27,10,5,3,868
0,3,27,10,5,4,868
0,3,26,10,6,8,835
0,4,27,10,0,5,868
0,4,27,10,0,15,868
0,4,27,10,0,16,868
0,4,27,10,0,16,868
0,4,27,10,1,9,868
0,4,27,10,1,10,868
0,4,26,10,1,11,835
0,4,26,10,1,11,835
0,4,26,10,1,11,835
0,4,26,11,1,11,836
0,4,26,10,1,16,835
0,4,27,10,2,1,868
0,4,27,10,2,1,868
0,4,27,10,2,11,868
0,4,28,10,2,11,901
0,4,27,9,2,13,867
0,4,26,8,2,13,833
0,4,25,8,2,13,800
0,4,26,10,3,3,835
0,4,27,10,3,4,868
0,4,28,10,4,4,901
0,4,28,10,4,4,901
0,4,27,10,4,11,868
0,4,27,10,5,1,868
0,4,27,10,5,1,868
0,4,27,10,5,1,868
0,4,27,10,5,1,868
0,4,27,10,5,4,868
0,4,27,10,5,5,868
0,4,27,10,5,5,868
0,4,26,10,5,5,835
0,4,24,9,5,5,768
0,4,26,10,6,10,835
0,4,26,10,6,10,835
0,6,26,9,2,2,834
0,6,27,10,2,2,868
0,6,27,10,2,7,868
0,6,27,10,2,8,868
0,6,27,10,3,4,868
0,6,27,10,3,12,868
0,6,26,10,3,12,835
0,6,27,10,4,4,868
0,6,26,9,4,4,834
0,6,26,10,4,4,835
0,6,26,10,4,6,835
0,6,26,9,4,6,834
0,6,27,10,4,6,868
0,6,27,10,4,6,868
0,6,27,10,4,10,868
0,6,28,10,4,10,901
0,6,27,10,6,1,868
0,6,26,10,6,1,835
0,8,27,9,0,2,867
0,8,26,8,0,2,833
0,8,25,9,0,2,801
0,8,25,15,0,3,807
0,8,25,20,0,3,812
0,8,27,28,0,3,886
0,8,27,28,0,4,886
0,8,25,20,0,5,812
0,8,25,12,0,5,804
0,8,25,10,0,5,802
0,8,26,9,0,5,834
0,8,27,9,0,5,867
0,8,27,9,0,5,867
0,8,27,9,0,6,867
0,8,27,10,0,6,868
0,8,27,10,0,7,868
0,8,26,10,0,8,835
0,8,26,10,0,8,835
0,8,25,10,0,9,802
0,8,26,10,0,9,835
0,8,26,10,0,10,835
0,8,26,10,0,10,835
0,8,26,10,0,10,835
0,8,26,10,3,18,835
0,8,27,10,3,18,868
0,8,28,10,4,2,901
0,8,27,10,4,2,868
0,8,26,10,4,7,835
0,8,26,10,4,7,835
0,8,26,9,4,7,834
0,8,26,7,4,8,832
0,8,24,6,4,8,765
0,8,20,4,4,8,631
0,8,7,3,4,8,201
0,8,3,7,4,8,73
0,8,3,7,4,12,73
0,8,3,7,4,13,73
0,8,6,6,4,13,171
0,8,11,5,4,13,335
0,8,20,4,4,13,631
0,8,25,7,4,13,799
0,8,26,10,4,13,835
0,8,26,10,4,14,835
0,8,27,10,4,17,868
0,8,28,10,4,17,901
0,8,27,10,5,5,868
0,8,27,10,5,5,868
0,8,26,10,5,5,835
0,8,26,10,5,5,835
0,8,26,9,5,6,834
0,8,26,10,5,6,835
0,8,26,10,5,7,835
0,8,26,10,5,7,835
0,8,26,10,5,7,835
0,8,26,10,5,7,835
0,8,26,8,5,7,833
0,8,24,6,5,8,765
0,8,20,4,5,8,631
0,8,19,1,5,8,595
0,8,6,4,5,8,169
0,8,3,7,5,8,73
0,8,3,7,5,12,73
0,8,3,7,5,13,73
0,8,5,6,5,13,138
0,8,9,6,5,13,270
0,8,16,5,5,13,500
0,8,23,5,5,13,731
0,8,26,8,5,13,833
0,8,26,10,5,14,835
0,8,26,10,5,14,835
0,8,27,10,5,17,868
0,8,27,10,5,17,868
0,8,28,10,6,0,901
0,8,27,10,6,0,868
0,8,26,10,6,7,835
0,8,26,10,6,7,835
0,8,26,9,6,7,834
0,8,25,7,6,8,799
0,8,21,4,6,8,664
0,8,17,4,6,8,532
0,8,8,3,6,8,234
0,8,4,6,6,8,105
0,8,3,7,6,12,73
0,8,3,7,6,13,73
0,8,5,6,6,13,138
0,8,8,6,6,13,237
0,8,16,5,6,13,500
0,8,23,5,6,13,731
0,8,26,8,6,13,833
0,8,26,10,6,14,835
0,8,26,10,6,14,835
0,8,27,10,6,17,868
0,8,27,10,6,17,868
0,9,28,10,0,5,901
0,9,27,10,0,5,868
0,9,26,10,0,5,835
0,9,26,10,0,5,835
0,9,26,10,0,5,835
0,9,26,10,0,7,835
0,9,26,10,0,7,835
0,9,26,9,0,7,834
0,9,25,6,0,8,798
0,9,21,4,0,8,664
0,9,19,2,0,8,596
0,9,6,4,0,8,169
0,9,3,7,0,8,73
0,9,3,7,0,12,73
0,9,3,7,0,13,73
0,9,5,6,0,13,138
0,9,9,6,0,13,270
0,9,16,5,0,13,500
0,9,23,5,0,13,731
0,9,26,8,0,13,833
0,9,26,10,0,14,835
0,9,27,10,0,14,868
0,9,27,10,0,14,868
0,9,28,10,0,21,901
0,9,27,10,0,21,868
0,9,26,10,0,21,835
0,9,26,9,0,22,834
0,9,25,6,0,22,798
0,9,20,4,0,22,631
0,9,19,1,0,22,595
0,9,6,4,0,22,169
0,9,3,7,0,22,73
0,9,3,7,1,4,73
0,9,3,7,1,5,73
0,9,6,4,1,5,169
0,9,15,4,1,5,466
0,9,22,5,1,5,698
0,9,25,7,1,5,799
0,9,26,9,1,5,834
0,9,26,10,1,6,835
0,9,27,10,1,9,868
0,9,27,10,1,10,868
0,9,27,10,1,10,868
0,9,26,10,1,10,835
0,9,26,9,1,10,834
0,9,26,9,1,10,834
0,9,26,10,1,11,835
0,9,26,10,1,11,835
0,9,26,10,1,11,835
0,9,24,11,1,11,770
0,9,17,25,1,12,553
0,9,17,26,1,12,554
0,9,17,29,1,12,557
0,9,17,28,2,8,556
0,9,17,25,2,8,553
0,9,25,11,2,9,803
0,9,26,10,2,9,835
0,9,27,10,2,9,868
0,9,26,10,2,9,835
0,9,27,10,2,10,868
0,9,28,10,2,10,901
0,9,28,10,2,10,901
0,9,27,10,2,10,868
0,9,27,10,2,10,868
0,9,26,10,3,0,835
0,9,26,10,3,0,835
0,9,26,10,3,4,835
0,9,27,10,3,4,868
0,9,28,10,3,4,901
0,9,28,10,3,4,901
0,9,27,10,3,4,868
0,9,27,10,3,5,868
0,9,26,10,3,5,835
0,9,26,10,3,5,835
0,9,26,10,3,7,835
0,9,26,10,3,7,835
0,9,27,10,3,7,868
0,9,26,10,3,8,835
0,9,26,10,3,8,835
0,9,27,10,3,8,868
0,9,27,10,3,10,868
0,9,27,10,3,10,868
0,9,27,10,3,11,868
0,9,27,10,3,11,868
0,9,27,10,3,11,868
0,9,26,10,3,11,835
0,9,27,10,3,15,868
0,9,27,9,3,15,867
0,9,27,10,4,0,868
0,9,26,10,4,0,835
0,9,26,10,4,0,835
0,9,27,10,4,4,868
0,9,27,10,4,4,868
0,9,27,9,4,4,867
0,9,27,10,4,4,868
0,9,27,10,4,5,868
0,9,27,10,4,5,868
0,9,27,10,4,9,868
0,9,27,10,4,9,868
0,9,27,10,4,9,868
0,9,27,10,4,9,868
0,9,26,10,4,10,835
0,9,27,10,5,17,868
0,9,27,9,5,17,867
0,9,27,9,6,0,867
0,9,26,10,6,1,835
0,9,25,11,6,1,803
0,9,14,23,6,2,452
0,9,13,23,6,2,419
0,9,13,23,6,2,419
0,9,13,23,6,2,419
0,9,13,23,6,2,419
0,9,14,24,6,2,453
0,9,16,25,6,3,520
0,9,17,25,6,3,553
0,9,17,29,6,3,557
0,9,17,29,6,10,557
0,9,17,25,6,11,553
0,9,25,11,6,11,803
0,9,26,10,6,12,835
0,9,26,10,6,12,835
0,9,27,10,6,17,868
0,9,27,10,6,18,868
0,9,27,9,6,18,867
0,9,27,9,6,18,867
0,10,27,10,0,1,868
0,10,27,10,0,1,868
0,10,27,10,0,1,868
0,10,27,10,0,4,868
0,10,28,10,0,4,901
0,10,28,10,0,4,901
0,10,27,10,0,4,868
0,10,26,10,0,9,835
0,10,27,10,0,9,868
0,10,28,10,0,9,901
0,10,27,10,0,10,868
0,10,27,10,0,10,868
0,10,27,10,0,10,868
0,10,26,10,0,15,835
0,10,27,10,0,15,868
0,10,28,9,0,15,900
0,10,27,9,0,23,867
0,10,27,10,1,0,868
0,10,27,10,1,0,868
0,10,27,10,1,4,868
0,10,27,10,1,4,868
0,10,27,10,1,4,868
0,10,26,10,1,10,835
0,10,27,10,1,10,868
0,10,28,10,1,10,901
0,10,27,10,1,10,868
0,10,28,10,2,2,901
0,10,27,10,2,2,868
0,10,26,10,2,3,835
0,10,25,10,2,3,802
0,10,24,11,2,3,770
0,10,24,10,2,3,769
0,10,25,10,2,4,802
0,10,27,10,2,4,868
0,10,27,9,2,4,867
0,10,27,9,2,4,867
0,10,27,9,2,4,867
0,10,27,10,2,4,868
0,10,26,10,2,5,835
0,10,26,10,2,9,835
0,10,27,10,2,9,868
0,10,28,10,2,10,901
0,10,27,10,2,10,868
0,10,27,10,2,10,868
0,10,27,10,2,20,868
0,10,27,10,2,20,868
0,10,26,10,3,9,835
0,10,27,10,3,9,868
0,10,27,10,3,9,868
0,10,27,10,3,10,868
0,10,27,10,3,18,868
0,10,27,9,3,18,867
0,10,27,9,4,0,867
0,10,27,9,4,0,867
0,10,27,10,4,1,868
0,10,27,10,4,3,868
0,10,27,10,4,4,868
0,10,27,10,4,5,868
0,10,27,9,4,5,867
0,10,27,9,4,6,867
0,10,27,10,4,6,868
0,10,26,10,4,6,835
0,10,26,9,4,6,834
0,10,26,9,4,7,834
0,10,26,10,4,7,835
0,10,26,10,4,7,835
0,10,26,10,4,7,835
0,10,27,10,4,9,868
0,10,27,10,4,9,868
0,10,27,10,4,10,868
0,10,27,10,4,10,868
0,10,27,10,4,17,868
0,10,27,10,4,17,868
0,10,27,10,5,0,868
0,10,26,10,5,1,835
0,10,25,11,5,1,803
0,10,22,12,5,1,705
0,10,17,19,5,2,547
0,10,17,19,5,2,547
0,10,17,19,5,3,547
0,10,17,18,5,3,546
0,10,17,18,5,3,546
0,10,17,18,5,3,546
0,10,17,18,5,3,546
0,10,17,19,5,3,547
0,10,21,12,5,4,672
0,10,21,12,5,4,672
0,10,25,11,5,4,803
0,10,26,10,5,4,835
0,10,26,9,5,5,834
0,10,26,9,5,5,834
0,10,26,9,5,7,834
0,10,26,9,5,7,834
0,10,26,10,5,11,835
0,10,26,10,5,11,835
0,10,25,11,5,11,803
0,10,17,25,5,12,553
0,10,17,25,5,12,553
0,10,17,26,5,12,554
0,10,17,30,5,12,558
0,10,17,30,6,7,558
0,10,17,26,6,7,554
0,10,25,11,6,8,803
0,10,26,10,6,8,835
0,10,27,10,6,9,868
0,10,27,10,6,9,868
0,10,26,9,6,9,834
0,10,26,10,6,10,835
0,10,26,10,6,10,835
0,10,27,10,6,17,868
0,10,27,9,6,18,867
0,11,27,10,0,1,868
0,11,27,10,0,1,868
0,11,27,10,0,3,868
0,11,27,10,0,3,868
0,11,27,10,0,5,868
0,11,27,9,0,5,867
0,11,27,9,0,6,867
0,11,27,10,0,6,868
0,11,27,10,0,9,868
0,11,27,10,0,9,868
0,11,28,10,0,10,901
0,11,27,10,0,10,868
0,11,27,10,0,10,868
0,11,27,10,0,10,868
0,11,27,10,0,12,868
0,11,27,10,0,13,868
0,11,26,10,0,14,835
0,11,26,10,0,21,835
0,11,27,10,0,22,868
0,11,27,10,0,22,868
0,11,27,10,1,5,868
0,11,27,10,1,5,868
0,11,27,10,1,10,868
0,11,26,10,1,10,835
0,11,26,10,1,10,835
0,11,26,10,1,14,835
0,11,26,10,1,14,835
0,11,26,10,1,15,835
0,11,27,9,2,0,867
0,11,27,9,2,1,867
0,11,27,10,2,1,868
0,11,28,10,2,1,901
0,11,26,10,2,1,835
0,11,27,10,2,3,868
0,11,28,10,2,3,901
0,11,28,10,2,3,901
0,11,27,10,2,4,868
0,11,26,10,2,5,835
0,11,26,9,2,5,834
0,11,26,9,2,6,834
0,11,26,9,2,6,834
0,11,26,9,2,6,834
0,11,26,10,2,7,835
0,11,26,10,2,9,835
0,11,26,10,2,9,835
0,11,26,10,2,9,835
0,11,27,10,2,9,868
0,11,27,10,2,10,868
0,11,27,10,2,10,868
0,11,27,10,2,10,868
0,11,27,9,2,10,867
0,11,27,9,2,11,867
0,11,27,9,2,11,867
0,11,27,9,2,11,867
0,11,27,10,2,11,868
0,11,26,10,2,12,835
0,11,25,10,2,12,802
0,11,25,11,2,13,803
0,11,25,18,2,13,810
0,11,25,22,2,13,814
0,11,27,28,2,13,886
0,11,27,28,2,15,886
0,11,25,20,2,15,812
0,11,25,11,2,15,803
0,11,27,9,2,15,867
0,11,27,9,3,3,867
0,11,27,9,3,3,867
0,11,27,9,3,3,867
0,11,27,9,3,3,867
0,11,27,9,3,4,867
0,11,27,9,3,4,867
0,11,26,10,3,4,835
0,11,26,10,3,4,835
0,11,26,10,3,4,835
0,11,26,10,3,4,835
0,11,25,10,3,5,802
0,11,22,10,3,5,703
0,11,21,9,3,5,669
0,11,20,9,3,5,636
0,11,20,9,3,5,636
0,11,20,9,3,7,636
0,11,20,9,3,7,636
0,11,20,9,3,7,636
0,11,20,9,3,7,636
0,11,20,10,3,7,637
0,11,20,10,3,8,637
0,11,20,10,3,8,637
0,11,21,8,3,8,668
0,11,20,10,3,9,637
0,11,20,10,3,9,637
0,11,21,10,3,9,670
0,11,22,10,3,10,703
0,11,22,10,3,10,703
0,11,22,10,3,10,703
0,11,22,10,3,10,703
0,11,22,10,3,10,703
0,11,22,10,3,11,703
0,11,23,10,3,11,736
0,11,25,10,3,11,802
0,11,25,10,3,11,802
0,11,26,9,3,11,834
0,11,27,9,3,11,867
0,11,27,9,3,12,867
0,11,27,10,4,3,868
0,11,27,10,4,5,868
0,11,27,9,4,6,867
0,11,28,9,4,6,900
0,11,27,9,4,6,867
0,11,27,9,4,6,867
0,11,26,8,4,7,833
0,11,26,8,4,7,833
0,11,26,8,4,7,833
0,11,27,8,4,7,866
0,11,27,8,4,7,866
0,11,27,8,4,7,866
0,11,27,8,4,8,866
0,11,27,8,4,8,866
0,11,27,8,4,8,866
0,11,28,8,4,8,899
0,11,28,8,4,8,899
0,11,28,8,4,8,899
0,11,28,8,4,9,899
0,11,28,8,4,9,899
0,11,28,9,4,9,900
0,11,27,9,4,9,867
